$MeshFile
Vertex	X	YZ
214	-0.253846	0.4538460
215	-0.238462	0.4538460
216	-0.223077	0.4538460
217	-0.207692	0.4538460
218	-0.192308	0.4538460
219	-0.176923	0.4538460
220	-0.161538	0.4538460
221	-0.146154	0.4538460
222	-0.130769	0.4538460
223	-0.115385	0.4538460
224	-0.1	0.4538460
225	-0.0846154	0.4538460
226	-0.0692308	0.4538460
227	-0.0538462	0.4538460
228	-0.0384615	0.4538460
229	-0.0230769	0.4538460
230	-0.00769231	0.4538460
231	0.00769231	0.4538460
232	0.0230769	0.4538460
233	0.0384615	0.4538460
234	0.0538462	0.4538460
235	0.0692308	0.4538460
236	0.0846154	0.4538460
237	0.1	0.4538460
238	0.115385	0.4538460
239	0.130769	0.4538460
240	0.146154	0.4538460
241	0.161538	0.4538460
242	0.176923	0.4538460
243	0.192308	0.4538460
244	0.207692	0.4538460
245	0.223077	0.4538460
246	0.238462	0.4538460
247	0.253846	0.4538460
248	0.269231	0.4538460
249	0.284615	0.4538460
250	0.3	0.4538460
251	0.315385	0.4538460
252	0.330769	0.4538460
253	0.346154	0.4538460
254	0.361538	0.4538460
255	0.376923	0.4538460
256	0.392308	0.4538460
257	0.407692	0.4538460
258	0.423077	0.4538460
259	0.438462	0.4538460
260	0.453846	0.4538460
261	0.469231	0.4538460
262	0.484615	0.4538460
263	0.5	0.4538460
264	-0.5	0.4384620
265	-0.484615	0.4384620
266	-0.469231	0.4384620
267	-0.453846	0.4384620
268	-0.438462	0.4384620
269	-0.423077	0.4384620
270	-0.407692	0.4384620
271	-0.392308	0.4384620
272	-0.376923	0.4384620
273	-0.361538	0.4384620
274	-0.346154	0.4384620
275	-0.330769	0.4384620
276	-0.315385	0.4384620
277	-0.3	0.4384620
278	-0.284615	0.4384620
279	-0.269231	0.4384620
280	-0.253846	0.4384620
281	-0.238462	0.4384620
282	-0.223077	0.4384620
283	-0.207692	0.4384620
284	-0.192308	0.4384620
285	-0.176923	0.4384620
286	-0.161538	0.4384620
287	-0.146154	0.4384620
288	-0.130769	0.4384620
289	-0.115385	0.4384620
290	-0.1	0.4384620
291	-0.0846154	0.4384620
292	-0.0692308	0.4384620
293	-0.0538462	0.4384620
294	-0.0384615	0.4384620
295	-0.0230769	0.4384620
296	-0.00769231	0.4384620
297	0.00769231	0.4384620
298	0.0230769	0.4384620
299	0.0384615	0.4384620
300	0.0538462	0.4384620
301	0.0692308	0.4384620
302	0.0846154	0.4384620
303	0.1	0.4384620
304	0.115385	0.4384620
305	0.130769	0.4384620
306	0.146154	0.4384620
307	0.161538	0.4384620
308	0.176923	0.4384620
309	0.192308	0.4384620
310	0.207692	0.4384620
311	0.223077	0.4384620
312	0.238462	0.4384620
313	0.253846	0.4384620
314	0.269231	0.4384620
315	0.284615	0.4384620
316	0.3	0.4384620
317	0.315385	0.4384620
318	0.330769	0.4384620
319	0.346154	0.4384620
320	0.361538	0.4384620
321	0.376923	0.4384620
322	0.392308	0.4384620
323	0.407692	0.4384620
324	0.423077	0.4384620
325	0.438462	0.4384620
326	0.453846	0.4384620
327	0.469231	0.4384620
328	0.484615	0.4384620
329	0.5	0.4384620
330	-0.5	0.4230770
331	-0.484615	0.4230770
332	-0.469231	0.4230770
333	-0.453846	0.4230770
334	-0.438462	0.4230770
335	-0.423077	0.4230770
336	-0.407692	0.4230770
337	-0.392308	0.4230770
338	-0.376923	0.4230770
339	-0.361538	0.4230770
340	-0.346154	0.4230770
341	-0.330769	0.4230770
342	-0.315385	0.4230770
343	-0.3	0.4230770
344	-0.284615	0.4230770
345	-0.269231	0.4230770
346	-0.253846	0.4230770
347	-0.238462	0.4230770
348	-0.223077	0.4230770
349	-0.207692	0.4230770
350	-0.192308	0.4230770
351	-0.176923	0.4230770
352	-0.161538	0.4230770
353	-0.146154	0.4230770
354	-0.130769	0.4230770
355	-0.115385	0.4230770
356	-0.1	0.4230770
357	-0.0846154	0.4230770
358	-0.0692308	0.4230770
359	-0.0538462	0.4230770
360	-0.0384615	0.4230770
361	-0.0230769	0.4230770
362	-0.00769231	0.4230770
363	0.00769231	0.4230770
364	0.0230769	0.4230770
365	0.0384615	0.4230770
366	0.0538462	0.4230770
367	0.0692308	0.4230770
368	0.0846154	0.4230770
369	0.1	0.4230770
370	0.115385	0.4230770
371	0.130769	0.4230770
372	0.146154	0.4230770
373	0.161538	0.4230770
374	0.176923	0.4230770
375	0.192308	0.4230770
376	0.207692	0.4230770
377	0.223077	0.4230770
378	0.238462	0.4230770
379	0.253846	0.4230770
380	0.269231	0.4230770
381	0.284615	0.4230770
382	0.3	0.4230770
383	0.315385	0.4230770
384	0.330769	0.4230770
385	0.346154	0.4230770
386	0.361538	0.4230770
387	0.376923	0.4230770
388	0.392308	0.4230770
389	0.407692	0.4230770
390	0.423077	0.4230770
391	0.438462	0.4230770
392	0.453846	0.4230770
393	0.469231	0.4230770
394	0.484615	0.4230770
395	0.5	0.4230770
396	-0.5	0.4076920
397	-0.484615	0.4076920
398	-0.469231	0.4076920
399	-0.453846	0.4076920
400	-0.438462	0.4076920
401	-0.423077	0.4076920
402	-0.407692	0.4076920
403	-0.392308	0.4076920
404	-0.376923	0.4076920
405	-0.361538	0.4076920
406	-0.346154	0.4076920
407	-0.330769	0.4076920
408	-0.315385	0.4076920
409	-0.3	0.4076920
410	-0.284615	0.4076920
411	-0.269231	0.4076920
412	-0.253846	0.4076920
413	-0.238462	0.4076920
414	-0.223077	0.4076920
415	-0.207692	0.4076920
416	-0.192308	0.4076920
417	-0.176923	0.4076920
418	-0.161538	0.4076920
419	-0.146154	0.4076920
420	-0.130769	0.4076920
421	-0.115385	0.4076920
422	-0.1	0.4076920
423	-0.0846154	0.4076920
424	-0.0692308	0.4076920
425	-0.0538462	0.4076920
426	-0.0384615	0.4076920
427	-0.0230769	0.4076920
428	-0.00769231	0.4076920
429	0.00769231	0.4076920
430	0.0230769	0.4076920
431	0.0384615	0.4076920
432	0.0538462	0.4076920
